model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-SU2L,0.5,14.45,5.0,4.07106038062284e-09,4627.5307600481265,7203.615657678039,0.6423900135643454,True,,,4627.5307600481265,,,7203.615657678039,611931,429800,74421
ALP-SU2L,0.5,24.564999999999998,5.0,2.3947414003663765e-09,1619.9015415911636,2530.28862638991,0.6402042536555834,True,,,1619.9015415911636,,,2530.28862638991,612071,429728,74421
ALP-SU2L,0.5,41.76049999999999,5.0,1.4086714119802215e-09,565.4606346894113,884.1945603620447,0.6395205987897915,True,,,565.4606346894113,,,884.1945603620447,612176,430175,74421
ALP-SU2L,0.5,70.99284999999999,5.0,8.286302423413068e-10,196.38241639744962,307.9228591579346,0.6377649809257079,True,,,196.38241639744962,,,307.9228591579346,612230,430076,74421
ALP-SU2L,0.5,120.68784499999998,5.0,4.874295543184157e-10,68.13977036082238,107.0026775580794,0.6368043484130308,True,,,68.13977036082238,,,107.0026775580794,612270,430004,74421
ALP-SU2L,0.5,205.16933649999996,5.0,2.8672326724612694e-10,23.599767735604626,37.12864728035084,0.6356215338901953,True,,,23.599767735604626,,,37.12864728035084,612298,430117,74421
ALP-SU2L,0.5,267.5080863969263,5.0,2.1990670746570735e-10,13.901772804472401,21.862070636727612,0.6358854582199477,True,,,13.901772804472401,,,21.862070636727612,612304,430259,74421
ALP-SU2L,0.5,305.45634092379134,5.0,1.9258667972676593e-10,10.657117220448821,16.774468366166225,0.6353177333443257,True,,,10.657117220448821,,,16.774468366166225,612307,430086,74421
ALP-SU2L,0.5,310.5636868631585,5.0,1.8941951357603658e-10,10.309714019428073,16.228061901985562,0.6353016202240788,True,,,10.309714019428073,,,16.228061901985562,612307,430086,74421
ALP-SU2L,0.5,313.1492949319941,5.0,1.8785551636887867e-10,10.140281118799717,15.961565610074775,0.6352936401426234,True,,,10.140281118799717,,,15.961565610074775,612307,430086,74421
ALP-SU2L,0.5,314.45016026148664,5.0,1.8707836704895152e-10,10.056611385748033,15.82996210154182,0.6352896691248888,True,,,10.056611385748033,,,15.82996210154182,612307,430086,74421
ALP-SU2L,0.5,315.10261801556,5.0,1.8669099885769634e-10,10.015035680773654,15.764567556208759,0.6352876883596662,True,,,10.015035680773654,,,15.764567556208759,612307,430086,74421
ALP-SU2L,0.5,315.26594387495237,5.0,1.8659428220173762e-10,10.004668629668707,15.748261147844143,0.6352871936619043,True,,,10.004668629668707,,,15.748261147844143,612307,430086,74421
ALP-SU2L,0.5,315.3067885655913,5.0,1.865701108676341e-10,10.002078543548619,15.744187180231087,0.6352870700182957,True,,,10.002078543548619,,,15.744187180231087,612307,430086,74421
ALP-SU2L,0.5,315.3272128952506,5.0,1.8655802637478634e-10,10.00078375186773,15.742150591409139,0.6352870082011153,True,,,10.00078375186773,,,15.742150591409139,612307,430086,74421
ALP-SU2L,0.5,315.3374255562028,5.0,1.8655198442189124e-10,10.000136418862585,15.741132395729421,0.6352869772936811,True,,,10.000136418862585,,,15.741132395729421,612307,430086,74421
ALP-SU2L,0.5,315.3476385479175,5.0,1.865459426646736e-10,9.999489127744038,15.74011426586489,0.6352869463870175,False,,,9.999489127744038,,,15.74011426586489,612307,430086,74421
ALP-SU2L,0.5,315.4293543903737,5.0,1.8649761565055948e-10,9.99431230638794,15.731971595784959,0.6352866991614515,False,,,9.99431230638794,,,15.731971595784959,612307,430086,74421
ALP-SU2L,0.5,315.7564295648436,5.0,1.8630443275872988e-10,9.973631798928253,15.699442990962638,0.6352857107522579,False,,,9.973631798928253,,,15.699442990962638,612307,430086,74421
ALP-SU2L,0.5,326.40384059472785,5.0,1.802271149531021e-10,9.334025507524379,14.693272389819578,0.635258454338026,False,,,9.334025507524379,,,14.693272389819578,612307,430087,74421
ALP-SU2L,0.5,348.7878720499999,5.0,1.686607454388982e-10,8.17509919370569,12.870151004014152,0.6351983897590562,False,,,8.17509919370569,,,12.870151004014152,612307,430087,74421
ALP-SU2L,0.5,592.9393824849999,5.0,9.921220319935187e-11,2.8284619319249518,4.458289685747763,0.6344275790258681,False,,,2.8284619319249518,,,4.458289685747763,612312,429951,74421
ALP-SU2L,0.5,1000.0,5.0,5.882682250000003e-11,0.9948768523933668,1.5684818579909674,0.634292865629751,False,,,0.9948768523933668,,,1.5684818579909674,612314,429987,74421
ALP-photon-combined,0.5,5.0,5.0,6.266850655610408e-14,1913.3341495182847,6159.93608393091,0.3106094159823339,True,1068.470456863511,844.8636926547738,,2389.507568510747,3770.428515420163,,1789750,801063,74321
ALP-photon-combined,0.5,8.5,5.0,3.6863827385943577e-14,783.0961238151717,2912.685345548057,0.2688570960856133,True,418.167877909331,364.9282459058407,,1010.5728932100102,1902.1124523380468,,1794174,812156,74321
ALP-photon-combined,0.5,14.45,5.0,2.1684604344672694e-14,301.9845690780869,1246.9610757036885,0.24217641990763036,True,156.38904930613134,145.59551977195557,,399.0888685591541,847.8722071445345,,1796727,818799,74321
ALP-photon-combined,0.5,24.564999999999998,5.0,1.275564961451335e-14,111.59423912096133,495.5453586129379,0.22519480241590903,True,56.67237032772764,54.921868793233685,,150.19749885758037,345.34785975535755,,1798297,821933,74321
ALP-photon-combined,0.5,41.76049999999999,5.0,7.503323302654912e-15,40.19552563618717,187.0257971886993,0.21491968616303758,True,20.14801418047021,20.04751145571696,,54.74586059009392,132.2799365986054,,1799231,824387,74321
