profile,selection_name,model,model_id,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,valid_mother_samples,samples_passing_ECAL,template_model_seed,spectrum_cache_key,scan_point_kind
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.5702117605827,4.0,2.8611718358358065e-10,10.00039751517988,15.016701960884241,0.6659516544464347,True,,,10.00039751517988,0.0,611342,445070,64421,b286d8a54ebfb03afdbf93337c52d2ae4efdeb18c997eb2645512788b18ad7ed,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.58321761689155,4.0,2.8610791726264413e-10,9.999750047443603,15.015730430148842,0.6659516227972455,False,,,9.999750047443603,0.0,611342,445070,64421,621dac2b0cdaaf2113bd065fa5a1fb3b733eb2aa078ee1bbfd8b882d69a08ef8,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.6092305932045,4.0,2.860893855210711e-10,9.9984552377008,15.013787557156157,0.6659515595007302,False,,,9.9984552377008,0.0,611342,445070,64421,8c0a82ca14aceae47a0e208f37fe0541965684dd8584c9cfb989dc02e912aeac,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.6612616009933,4.0,2.860523256388534e-10,9.99586612105832,15.00990256496958,0.6659514329151528,False,,,9.99586612105832,0.0,611342,445070,64421,4a45d465cf0b6137b6b26c135bc312b549c4bdc45c901f19d2d2439bb5c11148,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,401.8694530503338,4.0,2.859041341109581e-10,9.985516355882663,14.994372642111452,0.6659509266722171,False,,,9.985516355882663,0.0,611342,445070,64421,e9db7c5897d79e1576eedaa3946110ebf1799be08e6f8b6712ec56cbde160799,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,415.42062365635616,4.0,2.765778381167813e-10,9.344939687671639,14.033150715241328,0.665918857232977,False,,,9.344939687671639,0.0,611342,445070,64421,fd92ddda951aff9fdd78956cfdaf938c1d22f5cf1b39aa4d706be20a5e9f6cd9,bisection_evaluation
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,474.3515059879998,4.0,2.4221729360949193e-10,7.165302311853106,10.766024949847493,0.6655476227513857,False,,,7.165302311853106,0.0,611343,444990,64421,83fc04e695060e360b4a3be89b166d055edb8df9c151377fdb3adc391516da89,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,806.3975601795996,4.0,1.4248076094675994e-10,2.484944761793469,3.728595202413829,0.6664560315329371,False,,,2.484944761793469,0.0,611347,445593,64421,192171739d8c63cebbf72add9b829fb7b8501d3fd0442da2f69f2fbd84b3cc8c,coarse
production,diphoton_ecal,ALP-SU2L,alp_su2l,0.4,1000.0,4.0,1.14896138e-10,1.6146339655011657,2.4252581250822587,0.6657575739268583,False,,,1.6146339655011657,0.0,611347,445363,64421,2208b2311641ea7b48cee5d1351e20dc92a657255bc22ef8c582ae978e82e6f6,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.4,4.0,4.0,1.5314137523943464e-13,7582.764232594722,24267.908698215117,0.31246055549699786,True,3835.3171216826277,3747.4471109120946,,0.4942059380936031,1741998,783239,64321,2483a45bde0944ae378d127ec0f09099d6f210333e742a82e93f165dafbde1bc,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.4,6.8,4.0,9.008316190554979e-14,3217.949362936304,12356.974412731408,0.2604156369880354,True,1530.2444900591577,1687.7048728771465,,0.5244659509922043,1748308,796204,64321,58fe07c70605ec179608d83d597ddddd40e8afd95644bbae3896b9684a1a5772,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.4,11.559999999999999,4.0,5.2990095238558706e-14,1269.470894475502,5622.268045344913,0.2257933780881525,True,576.2747413547463,693.1961531207559,,0.5460512376750147,1752156,802294,64321,336bd93b15e1443cdc05f6c4f543d8bcd788487bb3f5aed88ece837aab85c6aa,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.4,19.651999999999997,4.0,3.117064425797571e-14,477.09216155360684,2336.674758230478,0.20417568164895153,True,210.9789684869716,266.11319306663523,,0.5577815242238775,1754387,806500,64321,58d55b2f4f2d357558e323d0483584f5362c185da8967831ab4eaf52aedafccb,coarse
